source,detector,type,ShortSeperation,cond,beta,se,tstat,dfe,p,q,minDiscoverableChange,RelativePower,subject,age,gender,handed
3,1,hbo,0,open_phys_04,19.2847449044168,19.9331628784972,0.96747039202796,25917.770308397,0.333317963094329,0.798366378669052,49.5647569091782,0.082570301328745,672,,,
3,1,hbr,0,open_phys_04,3.39189722496085,14.3579095670764,0.236238932214665,25917.770308397,0.813249137593967,1,35.7016245617394,0.114632792303316,672,,,
3,3,hbo,0,open_phys_04,24.2346985005123,12.0876328161584,2.00491683269167,25917.770308397,0.0449823189153526,0.286739881532128,30.0564735156304,0.136162910500746,672,,,
3,3,hbr,0,open_phys_04,-10.3644194421848,3.00664199219672,-3.44717444547243,25917.770308397,0.000567381380167949,0.0127860592713904,7.47615821756597,0.547417108383411,672,,,
3,4,hbo,0,open_phys_04,-11.4100199825115,13.2028751834833,-0.864207214257798,25917.770308397,0.38748206775414,0.864741480309978,32.8295766688136,0.124661275853873,672,,,
3,4,hbr,0,open_phys_04,-3.58658542272511,4.28287591975298,-0.837424546012058,25917.770308397,0.40236169502789,0.883098370431582,10.6495745371009,0.384294874787639,672,,,
4,2,hbo,0,open_phys_04,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
4,2,hbr,0,open_phys_04,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
4,4,hbo,0,open_phys_04,6.14626307484933,13.4790873122286,0.455985107335366,25917.770308397,0.64840450801976,1,33.5163912551428,0.122106729275303,672,,,
4,4,hbr,0,open_phys_04,-3.13421651197137,4.06084697448033,-0.771813498924681,25917.770308397,0.4402319324813,0.917205634557682,10.0974890117721,0.40530639929447,672,,,
4,5,hbo,0,open_phys_04,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
4,5,hbr,0,open_phys_04,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
5,3,hbo,0,open_phys_04,-26.0470775941674,14.1961068008826,-1.83480428539379,25917.770308397,0.066546148071666,0.364636427789951,35.2992942932059,0.115939340862815,672,,,
5,3,hbr,0,open_phys_04,-16.4349834879803,3.65393352084204,-4.49788793206968,25917.770308397,6.89296220616695e-06,0.000282788193073516,9.08567936893754,0.450442586304409,672,,,
5,4,hbo,0,open_phys_04,-2.64930357392449,11.6040535301682,-0.228308458508644,25917.770308397,0.81940825041451,1,28.8540306367697,0.141837269281246,672,,,
5,4,hbr,0,open_phys_04,-4.20126612499418,3.03655546319331,-1.38356311153166,25917.770308397,0.166504186095152,0.585604147799094,7.5505394849691,0.542024436985457,672,,,
5,6,hbo,0,open_phys_04,-30.1365281062393,13.206670336937,-2.28191719315899,25917.770308397,0.0225022978287892,0.180402586483274,32.8390134982576,0.124625452390462,672,,,
5,6,hbr,0,open_phys_04,-17.6493756823941,4.19389734896886,-4.20834708477867,25917.770308397,2.58111069989407e-05,0.000938585709052391,10.4283250917458,0.392448152246057,672,,,
6,4,hbo,0,open_phys_04,-9.43419829431546,10.305998283597,-0.915408486854777,25917.770308397,0.359985741311451,0.835961082871293,25.6263545703493,0.159701876520982,672,,,
6,4,hbr,0,open_phys_04,-10.845657285251,2.84913676202537,-3.80664678151185,25917.770308397,0.000141187781290096,0.00389483534593368,7.08451397661168,0.577679277193578,672,,,
